41,SHANTI MANJARI,F,69,B+,9876712345,shantiman@gmail.com
42,CHITTA RNAJAN,M,38,A+,9861032778,chitta29@gmail.com
43,SATYABRATA PATTNAIK,M,40,O-,9861055595,satyapatt40@gmail.com
44,SUCHITRA MOHANTY,F,50,B-,8097993452,suchi@gmail.com
45,FALAK SEN,F,30,A+,9090160988,falaksen@gmail.com
46,HARLEEN KAUR,F,47,B+,7955690889,harleen4@gmail.com
47,AVINASH PATTNAIK,M,30,A-,8995699087,avi1986@gmail.com
48,UTSAV GAN,M,45,O+,7699859887,utsav45@gmail.com
49,PRERNA BONIK,F,29,B+,9870699876,bonikprerna@gmail.com
50,RAKESH OJHA,M,59,AB-,9876499870,ojharakesh@gmail.com

